measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,192,Anemia,1,Number,2019,18959.24743611738,25126.53569385011,13922.664624991934
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,192,Anemia,2,Percent,2019,0.07858780859868408,0.10395819222534824,0.05774426799225915
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,192,Anemia,3,Rate,2019,7355.18826438551,9747.77090086424,5401.259717916682
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,193,Epilepsy,1,Number,2019,1433.0742999655818,1998.6457005683644,693.9523548324023
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,193,Epilepsy,2,Percent,2019,0.005940780976573951,0.008280741063198212,0.002877221232866414
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,193,Epilepsy,3,Rate,2019,555.9572608889321,775.3691411548691,269.2169208458435
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,194,Guillain-Barré syndrome,1,Number,2019,5.21269717153599,6.829859104532242,3.9383960921008025
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,194,Guillain-Barré syndrome,2,Percent,2019,2.1608986787998164e-05,2.838537058805765e-05,1.6362179014624156e-05
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,194,Guillain-Barré syndrome,3,Rate,2019,2.022251631614798,2.6496251869873557,1.527890008014674
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,195,Hearing loss,1,Number,2019,53844.57942984636,56752.159391068264,50881.96377200241
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,195,Hearing loss,2,Percent,2019,0.22321099483515466,0.23557220672877005,0.21096830477187728
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,195,Hearing loss,3,Rate,2019,20888.857538128257,22016.84524336817,19739.518884688485
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,196,Heart failure,1,Number,2019,2305.0394244540403,2768.2408433330934,1924.1422843177902
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,196,Heart failure,2,Percent,2019,0.009555511458343241,0.011469713608072437,0.007978524635293185
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,196,Heart failure,3,Rate,2019,894.2337495629126,1073.9314749956065,746.4657442922417
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,197,Developmental intellectual disability,1,Number,2019,3033.9561558355167,3698.3514153626256,2426.1489920232684
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,197,Developmental intellectual disability,2,Percent,2019,0.012576813323124662,0.01535040182236562,0.010060378261373602
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,197,Developmental intellectual disability,3,Rate,2019,1177.015004801871,1434.765331245625,941.2178755463656
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,198,Infertility,1,Number,2019,5282.304443473633,8543.612242166619,3091.1762592525833
5,Prevalence,44737,Havering,3,Both,22,All ages,294,All causes,198,Infertility,2,Percent,2019,0.021896184292267983,0.035414075505516215,0.012844509339515042
